,News Agency,Tweets Ago,Date,Compound,Positive,Neutral,Negative,Tweet
0,@BBCNews,1,Sat Mar 31 15:55:16 +0000 2018,-0.7906,0.0,0.389,0.611,UK soldier killed fighting IS in Syria named as Sgt Matt Tonroe https://t.co/FdCOYujDst
1,@BBCNews,2,Sat Mar 31 15:37:06 +0000 2018,0.7269,0.433,0.0,0.567,Redcar rescue: Four saved from sea by human chain https://t.co/ezQYF3dHZZ
2,@BBCNews,3,Sat Mar 31 15:10:17 +0000 2018,0.0772,0.053,0.0,0.947,RT @BBC_HaveYourSay: NHS at 70: We want your stories and memories of the #NHS from across the decades. Everyone from patients to doctors ar…
3,@BBCNews,4,Sat Mar 31 14:40:27 +0000 2018,-0.8957,0.0,0.607,0.393,IS 'Beatles duo' complaints anger murdered David Haines's daughter https://t.co/fSB2vzlxuu
4,@BBCNews,5,Sat Mar 31 14:23:16 +0000 2018,0.0,0.0,0.0,1.0,RT @BBCLondonNews: Man finds 'glistening' jewelled ring on London train https://t.co/g4uQpYVjZA https://t.co/MpiyoQ03t8
5,@BBCNews,6,Sat Mar 31 13:48:54 +0000 2018,0.0772,0.173,0.16,0.667,"RT @BBCSport: Former British boxing champion Chris Edwards has died at the age of 41.
https://t.co/1xhQwEeUDW https://t.co/WRC7zfykVO"
6,@BBCNews,7,Sat Mar 31 13:25:58 +0000 2018,0.6486,0.249,0.0,0.751,RT @BBCWorld: There's a good reason why this woman was asked to play the flute during brain surgery 🧠 https://t.co/5SjPgUBZ77
7,@BBCNews,8,Sat Mar 31 12:59:20 +0000 2018,-0.296,0.154,0.269,0.577,University of Oxford 'sexist' alumni invite criticised https://t.co/nBHmGz6jEQ
8,@BBCNews,9,Sat Mar 31 12:56:58 +0000 2018,0.34,0.118,0.0,0.882,"Actor Eddie Redmayne, who played Stephen Hawking in The Theory of Everything, to give reading at physicist's funera… https://t.co/uSV397t5jM"
9,@BBCNews,10,Sat Mar 31 12:42:05 +0000 2018,0.0772,0.198,0.261,0.541,Teachers raise prospect of national strike over pay https://t.co/awjrrajhlT
10,@BBCNews,11,Sat Mar 31 12:24:13 +0000 2018,0.4939,0.229,0.094,0.677,"RT @BBCWorld: David Warner apologises for his part in the ball-tampering scandal and says he has a ""tiny ray of hope"" he might play for Aus…"
11,@BBCNews,12,Sat Mar 31 11:55:53 +0000 2018,0.34,0.107,0.0,0.893,"RT @BBCPaulAdams: UK confirms Russian plane was searched at Heathrow yesterday. Security Minister Ben Wallace: ""It is routine for Border Fo…"
12,@BBCNews,13,Sat Mar 31 11:15:43 +0000 2018,0.0,0.0,0.0,1.0,Russian spy: UK considers request to visit Yulia Skripal https://t.co/8KzXGEbfLj
13,@BBCNews,14,Sat Mar 31 11:03:57 +0000 2018,0.0,0.0,0.0,1.0,What to expect from Saturday Night Takeaway as Dec hosts without Ant https://t.co/xkWPwyu7Ju
14,@BBCNews,15,Sat Mar 31 10:13:13 +0000 2018,-0.6412,0.077,0.285,0.638,RT @BBCBreaking: Russia more than doubles number of UK diplomats expelled in spy poisoning row https://t.co/oGWaFQPLcW
15,@BBCNews,16,Sat Mar 31 10:02:05 +0000 2018,0.93,0.58,0.0,0.42,RT @bbcthree: The amazing deaf dancer sharing his love and passion with others https://t.co/LdHnu8Fmct
16,@BBCNews,17,Sat Mar 31 09:50:44 +0000 2018,-0.3182,0.0,0.113,0.887,"RT @BBCSport: Ray Wilkins' family are in our thoughts today.

He is in a critical condition in a London hospital.

https://t.co/SxsiCdakSo…"
17,@BBCNews,18,Sat Mar 31 09:50:13 +0000 2018,0.0,0.0,0.0,1.0,RT @bbcweather: Here's the latest rain/snow picture. Helen https://t.co/KY6ahMOBCr
18,@BBCNews,19,Sat Mar 31 09:45:11 +0000 2018,-0.3182,0.251,0.389,0.359,"RT @BBCWorld: Hate food waste, love beer? 🍞🍻 https://t.co/PVeDQIkm03"
19,@BBCNews,20,Sat Mar 31 09:34:38 +0000 2018,0.4019,0.231,0.0,0.769,Esther McVey: Saturday jobs help teenagers prepare for work https://t.co/ZdtW7SE0Ym
20,@BBCNews,21,Sat Mar 31 15:55:16 +0000 2018,-0.7906,0.0,0.389,0.611,UK soldier killed fighting IS in Syria named as Sgt Matt Tonroe https://t.co/FdCOYujDst
21,@BBCNews,22,Sat Mar 31 15:37:06 +0000 2018,0.7269,0.433,0.0,0.567,Redcar rescue: Four saved from sea by human chain https://t.co/ezQYF3dHZZ
22,@BBCNews,23,Sat Mar 31 15:10:17 +0000 2018,0.0772,0.053,0.0,0.947,RT @BBC_HaveYourSay: NHS at 70: We want your stories and memories of the #NHS from across the decades. Everyone from patients to doctors ar…
23,@BBCNews,24,Sat Mar 31 14:40:27 +0000 2018,-0.8957,0.0,0.607,0.393,IS 'Beatles duo' complaints anger murdered David Haines's daughter https://t.co/fSB2vzlxuu
24,@BBCNews,25,Sat Mar 31 14:23:16 +0000 2018,0.0,0.0,0.0,1.0,RT @BBCLondonNews: Man finds 'glistening' jewelled ring on London train https://t.co/g4uQpYVjZA https://t.co/MpiyoQ03t8
25,@BBCNews,26,Sat Mar 31 13:48:54 +0000 2018,0.0772,0.173,0.16,0.667,"RT @BBCSport: Former British boxing champion Chris Edwards has died at the age of 41.
https://t.co/1xhQwEeUDW https://t.co/WRC7zfykVO"
26,@BBCNews,27,Sat Mar 31 13:25:58 +0000 2018,0.6486,0.249,0.0,0.751,RT @BBCWorld: There's a good reason why this woman was asked to play the flute during brain surgery 🧠 https://t.co/5SjPgUBZ77
27,@BBCNews,28,Sat Mar 31 12:59:20 +0000 2018,-0.296,0.154,0.269,0.577,University of Oxford 'sexist' alumni invite criticised https://t.co/nBHmGz6jEQ
28,@BBCNews,29,Sat Mar 31 12:56:58 +0000 2018,0.34,0.118,0.0,0.882,"Actor Eddie Redmayne, who played Stephen Hawking in The Theory of Everything, to give reading at physicist's funera… https://t.co/uSV397t5jM"
29,@BBCNews,30,Sat Mar 31 12:42:05 +0000 2018,0.0772,0.198,0.261,0.541,Teachers raise prospect of national strike over pay https://t.co/awjrrajhlT
30,@BBCNews,31,Sat Mar 31 12:24:13 +0000 2018,0.4939,0.229,0.094,0.677,"RT @BBCWorld: David Warner apologises for his part in the ball-tampering scandal and says he has a ""tiny ray of hope"" he might play for Aus…"
31,@BBCNews,32,Sat Mar 31 11:55:53 +0000 2018,0.34,0.107,0.0,0.893,"RT @BBCPaulAdams: UK confirms Russian plane was searched at Heathrow yesterday. Security Minister Ben Wallace: ""It is routine for Border Fo…"
32,@BBCNews,33,Sat Mar 31 11:15:43 +0000 2018,0.0,0.0,0.0,1.0,Russian spy: UK considers request to visit Yulia Skripal https://t.co/8KzXGEbfLj
33,@BBCNews,34,Sat Mar 31 11:03:57 +0000 2018,0.0,0.0,0.0,1.0,What to expect from Saturday Night Takeaway as Dec hosts without Ant https://t.co/xkWPwyu7Ju
34,@BBCNews,35,Sat Mar 31 10:13:13 +0000 2018,-0.6412,0.077,0.285,0.638,RT @BBCBreaking: Russia more than doubles number of UK diplomats expelled in spy poisoning row https://t.co/oGWaFQPLcW
35,@BBCNews,36,Sat Mar 31 10:02:05 +0000 2018,0.93,0.58,0.0,0.42,RT @bbcthree: The amazing deaf dancer sharing his love and passion with others https://t.co/LdHnu8Fmct
36,@BBCNews,37,Sat Mar 31 09:50:44 +0000 2018,-0.3182,0.0,0.113,0.887,"RT @BBCSport: Ray Wilkins' family are in our thoughts today.

He is in a critical condition in a London hospital.

https://t.co/SxsiCdakSo…"
37,@BBCNews,38,Sat Mar 31 09:50:13 +0000 2018,0.0,0.0,0.0,1.0,RT @bbcweather: Here's the latest rain/snow picture. Helen https://t.co/KY6ahMOBCr
38,@BBCNews,39,Sat Mar 31 09:45:11 +0000 2018,-0.3182,0.251,0.389,0.359,"RT @BBCWorld: Hate food waste, love beer? 🍞🍻 https://t.co/PVeDQIkm03"
39,@BBCNews,40,Sat Mar 31 09:34:38 +0000 2018,0.4019,0.231,0.0,0.769,Esther McVey: Saturday jobs help teenagers prepare for work https://t.co/ZdtW7SE0Ym
40,@BBCNews,41,Sat Mar 31 09:32:17 +0000 2018,0.2263,0.112,0.0,0.888,RT @BBCNewsNE: These lambs at @WhitehouseFarm have been knitted jumpers to keep warm 😍🐑 #HappyEaster https://t.co/Hf4dFf3wEi
41,@BBCNews,42,Sat Mar 31 08:58:26 +0000 2018,-0.4653,0.0,0.149,0.851,"RT @BBCSport: David Warner has said he is ""resigned to the fact"" he may never play for Australia again after his part in the ball-tampering…"
42,@BBCNews,43,Sat Mar 31 07:58:48 +0000 2018,0.0,0.0,0.0,1.0,Alan Sugar urged to 'delete' Corbyn Hitler tweet https://t.co/ZskUn4NOjJ
43,@BBCNews,44,Sat Mar 31 07:27:00 +0000 2018,-0.296,0.0,0.216,0.784,RT @BBCWorld: The graveyard of VW cars... ⚰️ https://t.co/EE9Kw1y1xP
44,@BBCNews,45,Sat Mar 31 04:46:29 +0000 2018,-0.7096,0.0,0.541,0.459,Schools cutting posts amid 'funding catastrophe' https://t.co/h6ZO7aL1u9
45,@BBCNews,46,Sat Mar 31 03:44:03 +0000 2018,-0.6249,0.0,0.313,0.687,Met Police chief: Social media leads children to violence https://t.co/Fida2XJIeP
46,@BBCNews,47,Sat Mar 31 03:22:18 +0000 2018,0.0,0.0,0.0,1.0,Stansted Airport: Flights to resume after cancellations https://t.co/rF0mxwcD0v
47,@BBCNews,48,Sat Mar 31 01:18:01 +0000 2018,-0.3182,0.0,0.223,0.777,Islamic State 'Beatles' duo: Loss of citizenship 'illegal' https://t.co/bH2fgAMP9T
